"file","size_mb","n_rows","n_unique_persons","path"
"apoe_patient_summary.parquet",28.26,462626,462626,"/hpc/users/sharma23/DOWNLOAD_TTE_PARQUETS/tte_raw_separate_parquets_20260518_180330/apoe_patient_summary.parquet"
"baseline_covariates_patient.parquet",29.5,465208,465208,"/hpc/users/sharma23/DOWNLOAD_TTE_PARQUETS/tte_raw_separate_parquets_20260518_180330/baseline_covariates_patient.parquet"
"baseline_covariates_patient_augmented.parquet",67,465208,465208,"/hpc/users/sharma23/DOWNLOAD_TTE_PARQUETS/tte_raw_separate_parquets_20260518_180330/baseline_covariates_patient_augmented.parquet"
"baseline_covariates_patient_augmented_candidate.parquet",67,465208,465208,"/hpc/users/sharma23/DOWNLOAD_TTE_PARQUETS/tte_raw_separate_parquets_20260518_180330/baseline_covariates_patient_augmented_candidate.parquet"
"baseline_measurement_summary.parquet",59.08,465208,465208,"/hpc/users/sharma23/DOWNLOAD_TTE_PARQUETS/tte_raw_separate_parquets_20260518_180330/baseline_measurement_summary.parquet"
"baseline_medication_summary.parquet",29.73,465208,465208,"/hpc/users/sharma23/DOWNLOAD_TTE_PARQUETS/tte_raw_separate_parquets_20260518_180330/baseline_medication_summary.parquet"
"baseline_util_summary.parquet",30.1,465208,465208,"/hpc/users/sharma23/DOWNLOAD_TTE_PARQUETS/tte_raw_separate_parquets_20260518_180330/baseline_util_summary.parquet"
"cleaned_baseline_measurements.parquet",1288.47,15960803,343514,"/hpc/users/sharma23/DOWNLOAD_TTE_PARQUETS/tte_raw_separate_parquets_20260518_180330/cleaned_baseline_measurements.parquet"
"cohort_spine_raw.parquet",34.08,463110,463110,"/hpc/users/sharma23/DOWNLOAD_TTE_PARQUETS/tte_raw_separate_parquets_20260518_180330/cohort_spine_raw.parquet"
"covariate_coverage.parquet",0,21,NA,"/hpc/users/sharma23/DOWNLOAD_TTE_PARQUETS/tte_raw_separate_parquets_20260518_180330/covariate_coverage.parquet"
"diagnostic_warnings.parquet",0,5,NA,"/hpc/users/sharma23/DOWNLOAD_TTE_PARQUETS/tte_raw_separate_parquets_20260518_180330/diagnostic_warnings.parquet"
"drug_concept_lookup.parquet",0.01,610,NA,"/hpc/users/sharma23/DOWNLOAD_TTE_PARQUETS/tte_raw_separate_parquets_20260518_180330/drug_concept_lookup.parquet"
